ID_ESTADO,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
28,PAN,Imelda Margarita Sanmiguel Sánchez,Georgina Barrios González
28,PRI,Imelda Margarita Sanmiguel Sánchez,Georgina Barrios González
28,PRD,Imelda Margarita Sanmiguel Sánchez,Georgina Barrios González
28,PVEM,Manuel Muñoz Cano,José Ricardo Espinoza Velázquez
28,PT,José Ramón Gómez Leal,Indira Paola López Carreto
28,MORENA,José Ramón Gómez Leal,Indira Paola López Carreto
28,PAN-PRI-PRD,Imelda Margarita Sanmiguel Sánchez,Georgina Barrios González
28,PAN-PRI,Imelda Margarita Sanmiguel Sánchez,Georgina Barrios González
28,PAN-PRD,Imelda Margarita Sanmiguel Sánchez,Georgina Barrios González
28,PRI-PRD,Imelda Margarita Sanmiguel Sánchez,Georgina Barrios González
28,PT-MORENA,José Ramón Gómez Leal,Indira Paola López Carreto
