fecha,indice
ene-18,98.7949997
feb-18,99.17137448
mar-18,99.49215698
abr-18,99.15484705
may-18,98.99408017
jun-18,99.37646493
jul-18,99.9090991
ago-18,100.492
sep-18,100.917
oct-18,101.44
nov-18,102.303
dic-18,103.02
ene-19,103.108
feb-19,103.079
mar-19,103.476
abr-19,103.531
may-19,103.233
jun-19,103.299
jul-19,103.687
ago-19,103.67
sep-19,103.942
oct-19,104.503
nov-19,105.346
dic-19,105.934
ene-20,106.447
feb-20,106.889
mar-20,106.838
abr-20,105.755
may-20,106.162
jun-20,106.743
jul-20,107.444
ago-20,107.867
sep-20,108.114
oct-20,108.774
nov-20,108.856
dic-20,109.271
ene-21,110.21
feb-21,110.907
mar-21,111.824
abr-21,112.19
may-21,112.419
jun-21,113.018
jul-21,113.682
ago-21,113.899
sep-21,114.601
oct-21,115.561
nov-21,116.884
dic-21,117.308
ene-22,118.002
feb-22,118.981
mar-22,120.159
abr-22,120.809
may-22,121.022
jun-22,122.044
jul-22,122.948
ago-22,123.803
sep-22,124.571
oct-22,125.276
nov-22,125.997
